AGENCY_NAME;NIGP_DESCRIPTION;PO_TOTAL_AMOUNT;ORDER_DATE;SUPPLIER;SUPPLIER_CITY;SUPPLIER_STATE
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$9490.36;1/4/11;GROUP 360 LLC;WASHINGTON  ;DC
FIRE AND EMERGENCY MEDICAL SERVICES;ARCHITECT SERVICES, PROFESSIONAL 07;$54425.00;1/4/11;ADVANCED CONSULTANT .;WASHINGTON  ;DC
LOTTERY & CHARITABLE GAMES CONTROL BOARD;STOCKMAN EQUIPMENT AND TOOL MAINTENANCE AND REPAIR 75;$23742.00;1/4/11;GARRON LOTTERY PRODUCTS, INC.;BALTIMORE  ;MD
DC PUBLIC LIBRARY;LIBRARY SERVICES (NOT OTHERWISE CLASSIFIED) 38;$28124.79;1/4/11;BYTE BACK, INC.;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$236631.70;1/4/11;OPTIONS PUBLIC CHARTER SCHOOL;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;EDUCATION AND TRAINING CONSULTING 38;$7991.42;1/4/11;WASH D.C. JOINT ELEC APPREN.;LANHAM  ;MD
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$350000.00;1/4/11;DIVERSIFIED ENVIRONMENTAL;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$8112.00;1/4/11;MIDTOWN PERSONNEL INC;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;NOT-FOR-CREDIT CLASSES, SEMINARS, WORKSHOPS, ETC. 60;$6400.00;1/4/11;TURNING THE PAGE;WASHINGTON  ;DC
OFFICE OF JUSTICE GRANTS ADMINISTRATION;CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32;$4932.00;1/4/11;LIFESTARTS YOUTH & FAMILY SERV;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$300000.00;1/4/11;SASHA BRUCE YOUTHWORK;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$7500.00;1/4/11;CITY SECURITY CONSULTANTS, INC;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;SURVEILLANCE AND COUNTERSURVEILLANCE EQUIPMENT AND SUPPLIES 87;$12480.00;1/4/11;MVS, INC.;WASHINGTON  ;DC
OFFICE OF THE D.C. AUDITOR;DESKTOP PUBLISHING 39;$3571.80;1/4/11;MVS, INC.;WASHINGTON  ;DC
DEPARTMENT OF GENERAL SERVICES;BUILDING CONSTRUCTION, NON-RESIDENTIAL (OFFICE BLDG., ETC.) 22;$8345000.00;1/4/11;PEPCO ENERGY SERVICES, INC;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$428667.43;1/4/11;PAUL JUNIOR HIGH PCS;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$166276.00;1/4/11;JOHNS HOPKINS UNIVERSITY;CHICAGO  ;IL
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$408644.73;1/4/11;MAYA ANGELOU PCS;WASHINGTON  ;DC
LOTTERY & CHARITABLE GAMES CONTROL BOARD;FILE DIVIDERS, LABELS, TABS, ETC. 39;$10000.00;1/4/11;CAPITAL SERVICES AND SUPPLIES;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$311913.14;1/4/11;MERIDIAN PUBLIC CHARTER SCHOOL;WASHINGTON  ;DC
DEPARTMENT OF PARKS AND RECREATION;JANITORIAL/CUSTODIAL SERVICES 39;$48400.00;1/4/11;R&R JANITORIAL PAINTING;WASHINGTON  ;DC
DEPART OF INSURANCE,SECURITIES & BANKING;APPLICATIONS SOFTWARE FOR MICROCOMPUTER SYSTEMS: BUSINESS, MATHEMATICAL/STATISTICAL, MEDICAL, SCIENTIFIC, ETC. 07;$15277.28;1/4/11;DOCUMENT SYSTEMS INC;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BUS TRANSPORTATION SERVICES, SCHOOL 16;$3500.00;1/4/11;MARGIE MONROE DBA/3-L BUS;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BUS TRANSPORTATION SERVICES, SCHOOL 16;$27350.00;1/4/11;WASH METRO AREA TRANSIT AUTH;WASHINGTON  ;DC
OFFICE OF THE ATTORNEY GENERAL;EDUCATION AND TRAINING CONSULTING 38;$10000.00;1/4/11;LEXISNEXIS JUSTICELINK EFILE S;BELLEVUE  ;WA
DEPARTMENT OF MENTAL HEALTH;HOUSEKEEPING SERVICES 56;$54348.00;1/4/11;MARCELLUS E. COBB;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;TUTORING 80;$120000.00;1/4/11;ACHIEVE TUTORING;GREENBELT  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SPECIAL EDUCATION 74;$9568.52;1/4/11;PEARSON EDUCATION, INC.;UPPER SADDLE RIVER  ;NJ
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BOOKS, REFERENCE: DICTIONARIES, ENCYCLOPEDIAS, ETC. 12;$40464.00;1/4/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;COMPUTERS, PARTS AND SUPPLIES 29;$53561.00;1/4/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
OFFICE OF MUNICIPAL PLANNING;HISTORICAL PRESERVATION 48;$4390.00;1/4/11;NATIONAL CONFERENCE OF STATE;WASHINGTON  ;DC
OFFICE OF THE INSPECTOR GENERAL;DATABASE SOFTWARE 37;$8490.00;1/4/11;CCH INCORPORATED;RIVERWOODS  ;IL
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$148349.87;1/4/11;POTOMAC LIGHTHOUSE PCS;WASHINGTON  ;DC
DEPARTMENT OF HUMAN SERVICES;FORMS PRINTING (NOT CONTINUOUS) 36;$23825.88;1/4/11;BRENTWORKS, INC.;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;;$12630.00;1/4/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;RECYCLED OFFICE SUPPLIES 73;$32891.40;1/4/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
DEPARTMENT OF MENTAL HEALTH;WATER FILTERS AND FILTER ELEMENTS (EXCEPT BOILER, PHOTOGRAPHIC DARKROOM, AND SWIMMING POOL): CARTRIDGES, ETC. 78;$101900.00;1/4/11;CRW MECHANICAL INC.;LANHAM  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$11000.00;1/5/11;SYNTHESIS, INC;COLUMBUS  ;OH
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;COPY PAPER - SPECIALIZED HIGH SPEED (INCLUDED RECYCLED) 33;$109400.00;1/5/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
DISTRICT DEPARTMENT OF THE ENVIRONMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$10820.00;1/5/11;ROBERT SHALET;WASHINGTON  ;DC
HOMELAND SECURITY/EMERGENCY MANAGEMENT;SIGNAGE, ADVERTISING TYPE (INTERIOR AND EXTERIOR) 62;$3710.00;1/5/11;ROADRUNNER GRAPHICS, LLC;ELKRIDGE  ;MD
DISTRICT DEPARTMENT OF THE ENVIRONMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$8280.00;1/5/11;BERNADETTE EICHELBERGER;WASHINGTON  ;DC
DISTRICT DEPARTMENT OF THE ENVIRONMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$7752.00;1/5/11;DEBORAH ZISKA;WASHINGTON  ;DC
DEPARTMENT OF MOTOR VEHICLES;SOFTWARE MAINTENANCE/SUPPORT 45;$3396.75;1/5/11;TELECHECK SERVICES INC;HOUSTON  ;TX
DEPARTMENT OF TRANSPORTATION;SOFTWARE MAINTENANCE/SUPPORT 45;$4722.97;1/5/11;DELL COMPUTER CORP.;ROUND ROCK  ;TX
FIRE AND EMERGENCY MEDICAL SERVICES;MICROCOMPUTERS, DESKTOP OR TOWERBASED 53;$19800.00;1/5/11;DELL COMPUTER CORP.;ROUND ROCK  ;TX
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$110658.00;1/5/11;LITERACY PRO SYSTEMS INC;BOULDER  ;CO
DEPARTMENT OF HEALTH;LABORATORY EQUIPMENT AND ACCESSORIES: SPECIALIZED, BIOCHEMISTRY, BIOLOGY, CHEMISTRY, ETC., MAINTENANCE AND REPAIR 63;$11145.00;1/5/11;CEPHEID;SUNNYVALE  ;CA
DEPARTMENT OF PARKS AND RECREATION;RECYCLED RECREATIONAL AND PARK EQUIPMENT 48;$53531.00;1/5/11;CAPITAL CONSTRUCTION GROUP;WASHINGTON  ;DC
DEPARTMENT OF PARKS AND RECREATION;ROOFING, GUTTERS, AND DOWNSPOUTS MAINTENANCE AND REPAIR 66;$89405.00;1/5/11;CAPITAL CONSTRUCTION GROUP;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32;$8635.86;1/5/11;APPLE COMPUTER INC;CUPERTINO  ;CA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SPECIAL EDUCATION 74;$7931.41;1/5/11;PSYCHOLOGICAL ASSESSMENT RESOU;LUTZ  ;FL
DEPARTMENT OF HEALTH;CHEMICAL TESTING SERVICES (FOR LABORATORY TESTING, SEE 962-22) 31;$5713.00;1/5/11;SPEX CERTIPREP GROUP, LLC;METUCHEN  ;NJ
FIRE AND EMERGENCY MEDICAL SERVICES;BUILDINGS - ARCHITECTURAL DESIGN 10;$12285.00;1/5/11;SAMAHA ASSOCIATES, P.C.;FAIRFAX  ;VA
DEPARTMENT OF GENERAL SERVICES;PERSONNEL SERVICES, TEMPORARY 69;$17513.00;1/5/11;BUSINESS STRATEGY CONSULTANTS;LARGO  ;MD
LOTTERY & CHARITABLE GAMES CONTROL BOARD;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$4500.00;1/5/11;NATIONAL COUNCIL FOR;SILVER SPRING  ;MD
METROPOLITAN POLICE DEPARTMENT;COMPUTER SOFTWARE CONSULTING 29;$109136.00;1/5/11;OST, INC.;WASHINGTON  ;DC
EQUIPMENT LEASE - CAPITAL;COMPUTER SOFTWARE CONSULTING 29;$14292.56;1/5/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$34178.67;1/5/11;OST, INC.;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;ADMINISTRATION OF CONTRACTS: SUMMARY OF WORK, QUALITY CONTROL, PROJECT CLOSEOUT, ETC. 03;$100000.00;1/5/11;GEORGE WASHINGTON UNIVERSITY -;WASHINGTON  ;DC
CHILD AND FAMILY SERVICES;EDUCATION AND TRAINING CONSULTING 38;$5000.00;1/5/11;CONSORTIUM FOR CHILD WELFARE;WASHINGTON  ;DC
DEPARTMENT OF PUBLIC WORKS;MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54;$20529.03;1/5/11;EZTAG CORP;PLATTSBURGH  ;NY
DEPARTMENT OF TRANSPORTATION;CONSTRUCTION, HIGHWAY AND ROAD 27;$262519.91;1/5/11;METRO PAVING COMPANY;HYATTSVILLE  ;MD
DEPARTMENT OF TRANSPORTATION;;$36400.00;1/5/11;CYCON PUBLISHING INC.;SILVER SPRING  ;MD
OFFICE OF PEOPLE'S COUNSEL;COMPUTER NETWORK CONSULTING 30;$9300.00;1/5/11;MVS, INC.;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATIONAL RESEARCH SERVICES 19;$13320.00;1/5/11;REINGOLD INC;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;GRAPHIC DESIGN SERVICES FOR PRINTING 46;$2890.00;1/5/11;REINGOLD INC;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;ENGINEERING CONSULTING 42;$1000000.00;1/5/11;HNTB DISTRICT OF COLUMBIA PC;WASHINGTON  ;DC
DC NATIONAL GUARD;FOR CREDIT CLASSES, SEMINARS, WORKSHOPS, ETC. 25;$2935.00;1/5/11;BELLEVUE UNIVERSITY;BELLEVUE  ;NE
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$4950.00;1/5/11;BERT SMITH & COMPANY;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$6083.00;1/5/11;DOCUMENT SYSTEMS INC;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$41898.78;1/5/11;NEXT STEP PCS;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;MEMBERSHIP DUES 48;$5000.00;1/5/11;AMER ALL HEALTH PHYS ED;RESTON  ;VA
METROPOLITAN POLICE DEPARTMENT;ALCOHOL AND DRUG TESTING SERVICES 07;$8044.87;1/5/11;MEDICAL SUPPLY SYSTEMS INC;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;EDUCATION AND TRAINING CONSULTING 38;$4000.00;1/5/11;WRIGHT EDUCATIONAL CONSULTANT;UPPER MARLBORO  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$692000.00;1/5/11;SPERO TECHNOLOGIES;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;SCHOOL EQUIPMENT 89;$20000.00;1/5/11;HI-TECH SOLUTION, INC.;WASHINGTON  ;DC
MUNICIPAL FACILITIES: NON-CAPITAL;GUARD AND SECURITY SERVICES 46;$8672.95;1/5/11;LAWMEN SUPPLY COMPANY;EGG HARBOR CITY  ;NJ
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;ARBITRATION, MEDIATION, AND ALTERNATIVE DISPUTE RESOLUTION SERVICES 05;$4000.00;1/5/11;PAUL GREENBERG;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$45464.88;1/5/11;IRON MOUNTAIN;COLLEGEVILLE  ;PA
DEPARTMENT OF MOTOR VEHICLES;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$742423.00;1/5/11;XEROX STATE & LOCAL SOLUTIONS, INC.;NORWALK  ;CT
EQUIPMENT LEASE - CAPITAL;VEHICLES, INCLUDING AUTOMOBILES, TRUCKS, TRAILERS, VANS, MOTOR HOMES, MOTORCYCLES AND SCOOTERS, ETC. (SEE 998-20 FOR BUSES) 94;$115163.20;1/5/11;SEGWAY INC.;BEDFORD  ;NH
DEPARTMENT OF PUBLIC WORKS;INDUSTRIAL EQUIPMENT RENTAL OR LEASE 40;$16065.00;1/5/11;ACME AUTO LEASING LLC;NORTH HAVEN  ;CT
DISTRICT DEPARTMENT OF THE ENVIRONMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$14500.00;1/5/11;JOSHUA LAMB;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;INTERNET DATABASE SUBSCRIPTIONS 35;$3099.96;1/6/11;EBSCO PUBLISHING;IPSWICH  ;MA
OFFICE OF CHIEF FINANCIAL OFFICER;PAPER AND FILM SHREDDERS 71;$50000.00;1/6/11;IRON MOUNTAIN;COLLEGEVILLE  ;PA
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$74240.07;1/6/11;SEPTIMA CLARK PCS;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER SOFTWARE CONSULTING 29;$503890.00;1/6/11;ORACLE CORPORATION;REDWOOD SHORES  ;CA
DEPARTMENT OF MENTAL HEALTH;TWO-WAY RADIO, PORTABLE, INCLUDING VEHICLE RADIO RELAY SYSTEMS 74;$23451.00;1/6/11;WORLD COMMUNICATION CENTER INC;CHANDLER  ;AR
OFFICE ON AGING;ELDERLY ASSISTANCE SERVICES 40;$124846.00;1/6/11;BARNEY NEIGHBORHOOD HOUSE;WASHINGTON  ;DC
OFFICE ON AGING;ELDERLY ASSISTANCE SERVICES 40;$157335.00;1/6/11;BARNEY NEIGHBORHOOD HOUSE;WASHINGTON  ;DC
DISTRICT DEPARTMENT OF THE ENVIRONMENT;COMPUTER SOFTWARE CONSULTING 29;$53456.00;1/6/11;OST, INC.;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$350000.00;1/6/11;SOIL AND LAND USE TECHNOLOGY,;WASHINGTON  ;DC
FIRE AND EMERGENCY MEDICAL SERVICES;SHOES AND BOOTS, WORK, MEN'S 86;$98925.12;1/6/11;MARYLAND FIRE EQPMNT CORPORATI;ROCKVILLE  ;MD
OFFICE OF JUSTICE GRANTS ADMINISTRATION;CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32;$400000.00;1/6/11;P.C.S. FOR STUDENT SUPPO.SRVS.;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;COPY PAPER - SPECIALIZED HIGH SPEED (INCLUDED RECYCLED) 33;$3623.50;1/6/11;FRANK PARSON PAPER COMPANY;HANOVER  ;MD
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$314690.00;1/6/11;MARTINEZ & JOHNSON ARCHITECTUR;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;MEDICAL AND LABORATORY SERVICES (NON-PHYSICIAN) 55;$69102.46;1/6/11;SYSTEMS ASSESSMENT RESEARCH;LARGO  ;MD
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$237541.82;1/6/11;SEED FOUNDATION;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);CONCESSIONS, CATERING, VENDING: MOBILE AND STATIONARY 15;$4920.00;1/6/11;GIST FAMILY CATERING;CLINTON  ;MD
DEPARTMENT OF TRANSPORTATION;CONSTRUCTION CONSULTING 31;$276500.00;1/6/11;FLIPPO CONSTRUCTION CO., INC.;FORESTVILLE  ;MD
STATE SUPERINTENDENT OF EDUCATION (OSSE);EDUCATION AND TRAINING CONSULTING 38;$113765.24;1/6/11;WVSA SCHOOL FOR ARTS;WASHINGTON  ;DC
